crimeNumber,title,description,category,severity,status,incidentDate,incidentTime,latitude,longitude,address,district,city,state,country,reportedBy,policeStation
CRIME-001,Bank Robbery at SBI Whitefield,"Armed robbery at the State Bank of India branch",ROBBERY,CRITICAL,OPEN,2026-07-20,14:30:00,12.9698,77.7499,"123 Main St",Bangalore Urban,Bangalore,Karnataka,India,Officer Ravi Kumar,Whitefield Police
CRIME-002,Major Cyber Fraud in Electronic City,"Online fraud targeting senior citizens",CYBER_CRIME,HIGH,INVESTIGATING,2026-07-19,10:15:00,12.8354,77.6794,"456 Cyber Rd",Bangalore Urban,Bangalore,Karnataka,India,Officer Priya Sharma,Cyber Cell
CRIME-003,Homicide in Mysore,"Homicide reported in a residential area",MURDER,CRITICAL,OPEN,2026-07-18,22:45:00,12.3092,76.6532,"789 MG Rd",Mysore,Mysore,Karnataka,India,Officer Kumar Reddy,Mysore Police
CRIME-004,Vehicle Theft in Hubli,"Multiple cars stolen from parking lot",VEHICLE_THEFT,MEDIUM,OPEN,2026-07-17,08:00:00,15.3647,75.1239,"101 Station Rd",Hubli,Hubli,Karnataka,India,Officer Sharma,Hubli Police
CRIME-005,Domestic Violence in Koramangala,"Physical assault reported in an apartment",DOMESTIC_VIOLENCE,HIGH,INVESTIGATING,2026-07-16,19:30:00,12.9352,77.6245,"22 Lake View",Bangalore Urban,Bangalore,Karnataka,India,Officer Reddy,Women Cell
CRIME-006,Robbery at Jewelry Store,"Robbery at jewelry store on commercial street",ROBBERY,HIGH,OPEN,2026-07-15,13:20:00,12.9784,77.6408,"45 Comm St",Bangalore Urban,Bangalore,Karnataka,India,Officer Ravi Kumar,Commercial Street PS
CRIME-007,Burglary in JP Nagar,"Burglary in a gated community",BURGLARY,MEDIUM,INVESTIGATING,2026-07-14,02:00:00,12.9288,77.6105,"67 Green Park",Bangalore Urban,Bangalore,Karnataka,India,Officer Priya Sharma,JP Nagar PS
CRIME-008,Drug Trafficking at Railway Station,"Narcotics recovered from a passenger",DRUG_OFFENSE,CRITICAL,OPEN,2026-07-13,06:30:00,12.9716,77.5946,Railway Station,Bangalore Urban,Bangalore,Karnataka,India,Officer Kumar Reddy,Railway PS
CRIME-009,Kidnapping in Malleshwaram,"Child kidnapping reported",KIDNAPPING,CRITICAL,INVESTIGATING,2026-07-12,17:00:00,13.0027,77.5700,"8 Temple St",Bangalore Urban,Bangalore,Karnataka,India,Officer Ravi Kumar,Malleshwaram PS
CRIME-010,Financial Fraud in Mangalore,"Financial fraud in a bank",FRAUD,HIGH,OPEN,2026-07-11,11:45:00,12.9141,74.8560,"34 Port Rd",Mangalore,Mangalore,Karnataka,India,Officer Sharma,Mangalore PS
CRIME-011,Cyber Crime in Indiranagar,"Online identity theft",CYBER_CRIME,MEDIUM,OPEN,2026-07-21,09:00:00,12.9784,77.6408,"55 100ft Rd",Bangalore Urban,Bangalore,Karnataka,India,Officer Priya Sharma,Indiranagar PS
CRIME-012,Assault in MG Road,"Physical assault outside a pub",ASSAULT,HIGH,CLOSED,2026-07-21,23:15:00,12.9716,77.5946,"1 MG Rd",Bangalore Urban,Bangalore,Karnataka,India,Officer Ravi Kumar,MG Road PS
CRIME-013,Theft in Rajajinagar,"Mobile phone theft on a bus",THEFT,LOW,CLOSED,2026-07-22,08:45:00,12.9986,77.5554,"12 Bus Stop",Bangalore Urban,Bangalore,Karnataka,India,Officer Reddy,Rajajinagar PS
CRIME-014,Extortion in Bellandur,"Threat calls for money",EXTORTION,HIGH,INVESTIGATING,2026-07-22,10:30:00,12.9252,77.6825,"15 Tech Park",Bangalore Urban,Bangalore,Karnataka,India,Officer Sharma,Bellandur PS
CRIME-015,Burglary in BTM Layout,"Burglary in a house",BURGLARY,MEDIUM,OPEN,2026-07-22,14:00:00,12.9150,77.6161,"29 BTM Layout",Bangalore Urban,Bangalore,Karnataka,India,Officer Ravi Kumar,BTM Layout PS
CRIME-016,Murder in Shivajinagar,"Stabbing incident",MURDER,CRITICAL,OPEN,2026-07-23,01:00:00,12.9822,77.5663,"33 Shivaji Rd",Bangalore Urban,Bangalore,Karnataka,India,Officer Kumar Reddy,Shivajinagar PS
CRIME-017,Robbery in Jayanagar,"Robbery at a grocery store",ROBBERY,HIGH,INVESTIGATING,2026-07-23,18:30:00,12.9308,77.5805,"44 4th Block",Bangalore Urban,Bangalore,Karnataka,India,Officer Priya Sharma,Jayanagar PS
CRIME-018,Domestic Violence in Whitefield,"Domestic dispute turned violent",DOMESTIC_VIOLENCE,MEDIUM,CLOSED,2026-07-23,20:15:00,12.9698,77.7499,"77 Whitefield",Bangalore Urban,Bangalore,Karnataka,India,Officer Reddy,Whitefield PS
CRIME-019,Fraud in Electronic City,"Job scam fraud",FRAUD,HIGH,OPEN,2026-07-24,11:00:00,12.8354,77.6794,"12 EC Phase 1",Bangalore Urban,Bangalore,Karnataka,India,Officer Sharma,Electronic City PS
CRIME-020,Kidnapping in Malleshwaram,"Missing child found after kidnapping",KIDNAPPING,HIGH,CLOSED,2026-07-24,16:30:00,13.0027,77.5700,"56 Malleshwaram",Bangalore Urban,Bangalore,Karnataka,India,Officer Ravi Kumar,Malleshwaram PS
CRIME-021,Cyber Crime in Jayanagar,"Hacking social media accounts",CYBER_CRIME,MEDIUM,OPEN,2026-07-25,12:00:00,12.9308,77.5805,"21 Jayanagar",Bangalore Urban,Bangalore,Karnataka,India,Officer Priya Sharma,Jayanagar PS
CRIME-022,Theft in Majestic,"Pickpocketing at bus stand",THEFT,LOW,INVESTIGATING,2026-07-25,09:30:00,12.9762,77.5726,"34 Majestic",Bangalore Urban,Bangalore,Karnataka,India,Officer Reddy,Majestic PS
CRIME-023,Assault in Indiranagar,"Road rage incident",ASSAULT,MEDIUM,OPEN,2026-07-25,19:45:00,12.9784,77.6408,"87 Indiranagar",Bangalore Urban,Bangalore,Karnataka,India,Officer Sharma,Indiranagar PS
CRIME-024,Robbery in KR Market,"Robbery at a jewelry shop",ROBBERY,HIGH,CLOSED,2026-07-26,10:15:00,12.9612,77.5779,"45 KR Market",Bangalore Urban,Bangalore,Karnataka,India,Officer Ravi Kumar,KR Market PS
CRIME-025,Domestic Violence in Yelahanka,"Domestic violence incident",DOMESTIC_VIOLENCE,HIGH,OPEN,2026-07-26,22:00:00,13.1000,77.5881,"11 Yelahanka",Bangalore Urban,Bangalore,Karnataka,India,Officer Priya Sharma,Yelahanka PS
CRIME-026,Fraud in Bannerghatta,"Insurance fraud",FRAUD,HIGH,INVESTIGATING,2026-07-26,14:30:00,12.8665,77.5978,"98 Bannerghatta",Bangalore Urban,Bangalore,Karnataka,India,Officer Reddy,Bannerghatta PS
CRIME-027,Burglary in HSR Layout,"Burglary in a villa",BURGLARY,MEDIUM,OPEN,2026-07-27,03:00:00,12.9117,77.6451,"43 HSR Layout",Bangalore Urban,Bangalore,Karnataka,India,Officer Sharma,HSR Layout PS
CRIME-028,Drug Trafficking in Yeshwanthpur,"Drug peddling near college",DRUG_OFFENSE,CRITICAL,OPEN,2026-07-27,16:00:00,13.0225,77.5518,"76 Yeshwanthpur",Bangalore Urban,Bangalore,Karnataka,India,Officer Kumar Reddy,Yeshwanthpur PS
CRIME-029,Kidnapping in Basavanagudi,"Attempted kidnapping",KIDNAPPING,HIGH,CLOSED,2026-07-27,18:45:00,12.9396,77.5740,"25 Basavanagudi",Bangalore Urban,Bangalore,Karnataka,India,Officer Ravi Kumar,Basavanagudi PS
CRIME-030,Theft in Vijayanagar,"Laptop theft from car",THEFT,LOW,OPEN,2026-07-28,20:00:00,12.9789,77.5242,"67 Vijayanagar",Bangalore Urban,Bangalore,Karnataka,India,Officer Priya Sharma,Vijayanagar PS
CRIME-031,Cyber Crime in Koramangala,"Phishing attacks",CYBER_CRIME,MEDIUM,INVESTIGATING,2026-07-28,08:30:00,12.9352,77.6245,"34 Koramangala",Bangalore Urban,Bangalore,Karnataka,India,Officer Reddy,Koramangala PS
CRIME-032,Murder in Hebbal,"Stabbing near flyover",MURDER,CRITICAL,OPEN,2026-07-28,23:00:00,13.0351,77.5984,"12 Hebbal",Bangalore Urban,Bangalore,Karnataka,India,Officer Kumar Reddy,Hebbal PS
CRIME-033,Robbery in Electronic City,"Robbery at an ATM",ROBBERY,HIGH,OPEN,2026-07-29,01:15:00,12.8354,77.6794,"77 EC Phase 2",Bangalore Urban,Bangalore,Karnataka,India,Officer Sharma,Electronic City PS
CRIME-034,Domestic Violence in Malleshwaram,"Domestic abuse case",DOMESTIC_VIOLENCE,HIGH,OPEN,2026-07-29,21:00:00,13.0027,77.5700,"9 Malleshwaram",Bangalore Urban,Bangalore,Karnataka,India,Officer Priya Sharma,Malleshwaram PS
CRIME-035,Extortion in Indiranagar,"Extortion threats to business owner",EXTORTION,HIGH,INVESTIGATING,2026-07-29,12:30:00,12.9784,77.6408,"56 Indiranagar",Bangalore Urban,Bangalore,Karnataka,India,Officer Ravi Kumar,Indiranagar PS
CRIME-036,Theft in Mysore,"Vehicle theft from mall",VEHICLE_THEFT,MEDIUM,OPEN,2026-07-30,15:00:00,12.3092,76.6532,"89 Mall Rd",Mysore,Mysore,Karnataka,India,Officer Reddy,Mysore PS
CRIME-037,Burglary in Hubli,"Burglary at a business",BURGLARY,MEDIUM,OPEN,2026-07-30,04:30:00,15.3647,75.1239,"56 Hubli City",Hubli,Hubli,Karnataka,India,Officer Sharma,Hubli PS
CRIME-038,Fraud in Mangalore,"Online banking fraud",FRAUD,HIGH,OPEN,2026-07-30,10:30:00,12.9141,74.8560,"23 Mangalore",Mangalore,Mangalore,Karnataka,India,Officer Kumar Reddy,Mangalore PS
CRIME-039,Assault in Bengaluru,"Assault on security guard",ASSAULT,MEDIUM,CLOSED,2026-07-31,07:00:00,12.9716,77.5946,"12 Bengaluru",Bangalore Urban,Bangalore,Karnataka,India,Officer Priya Sharma,Bengaluru PS
CRIME-040,Kidnapping in Bengaluru,"Rescue of kidnapped person",KIDNAPPING,HIGH,CLOSED,2026-07-31,14:45:00,12.9716,77.5946,"34 Bengaluru",Bangalore Urban,Bangalore,Karnataka,India,Officer Ravi Kumar,Bengaluru PS
